code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avg_assessment_score,assessment_count,total_vle_clicks,date_registration,date_unregistration,module_presentation_length,final_score,dropout,Deletion_Row_Removed,id_student_Mean_Imputed,num_of_prev_attempts_Mean_Imputed,studied_credits_Mean_Imputed,avg_assessment_score_Mean_Imputed,assessment_count_Mean_Imputed,total_vle_clicks_Mean_Imputed,date_registration_Mean_Imputed,date_unregistration_Mean_Imputed,module_presentation_length_Mean_Imputed,final_score_Mean_Imputed,dropout_Mean_Imputed,id_student_Median_Imputed,num_of_prev_attempts_Median_Imputed,studied_credits_Median_Imputed,avg_assessment_score_Median_Imputed,assessment_count_Median_Imputed,total_vle_clicks_Median_Imputed,date_registration_Median_Imputed,date_unregistration_Median_Imputed,module_presentation_length_Median_Imputed,final_score_Median_Imputed,dropout_Median_Imputed,id_student_Model_Imputed,num_of_prev_attempts_Model_Imputed,studied_credits_Model_Imputed,avg_assessment_score_Model_Imputed,assessment_count_Model_Imputed,total_vle_clicks_Model_Imputed,date_registration_Model_Imputed,date_unregistration_Model_Imputed,module_presentation_length_Model_Imputed,final_score_Model_Imputed,dropout_Model_Imputed,code_module_Missing,code_presentation_Missing,id_student_Missing,gender_Missing,region_Missing,highest_education_Missing,imd_band_Missing,age_band_Missing,num_of_prev_attempts_Missing,studied_credits_Missing,disability_Missing,final_result_Missing,avg_assessment_score_Missing,assessment_count_Missing,total_vle_clicks_Missing,date_registration_Missing,date_unregistration_Missing,module_presentation_length_Missing,final_score_Missing,dropout_Missing
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,82.0,5,934,-159.0,,268,78.0,0,1,11391,0,240,82.0,5,934,-159.0,49.757644956314536,268,78.0,0,11391,0,240,82.0,5,934,-159.0,27.0,268,78.0,0,11391,0,240,82.0,5,934,-159.0,48.81125261090182,268,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,66.4,5,1435,-53.0,,268,70.0,0,1,28400,0,60,66.4,5,1435,-53.0,49.757644956314536,268,70.0,0,28400,0,60,66.4,5,1435,-53.0,27.0,268,70.0,0,28400,0,60,66.4,5,1435,-53.0,48.83431263650499,268,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,0.0,0,281,-92.0,12.0,268,,1,1,30268,0,60,0.0,0,281,-92.0,12.0,268,72.27975744871986,1,30268,0,60,0.0,0,281,-92.0,12.0,268,76.0,1,30268,0,60,0.0,0,281,-92.0,12.0,268,71.65326403609089,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,76.0,5,2158,-52.0,,268,72.0,0,1,31604,0,60,76.0,5,2158,-52.0,49.757644956314536,268,72.0,0,31604,0,60,76.0,5,2158,-52.0,27.0,268,72.0,0,31604,0,60,76.0,5,2158,-52.0,48.838656473416776,268,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,54.4,5,1034,-176.0,,268,69.0,0,1,32885,0,60,54.4,5,1034,-176.0,49.757644956314536,268,69.0,0,32885,0,60,54.4,5,1034,-176.0,27.0,268,69.0,0,32885,0,60,54.4,5,1034,-176.0,48.84039319472889,268,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,68.0,5,2445,-110.0,,268,79.0,0,1,38053,0,60,68.0,5,2445,-110.0,49.757644956314536,268,79.0,0,38053,0,60,68.0,5,2445,-110.0,27.0,268,79.0,0,38053,0,60,68.0,5,2445,-110.0,48.84739973316837,268,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,68.0,5,1492,-67.0,,268,70.0,0,1,45462,0,60,68.0,5,1492,-67.0,49.757644956314536,268,70.0,0,45462,0,60,68.0,5,1492,-67.0,27.0,268,70.0,0,45462,0,60,68.0,5,1492,-67.0,48.85744451708829,268,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,72.4,5,1428,-29.0,,268,72.0,0,1,45642,0,120,72.4,5,1428,-29.0,49.757644956314536,268,72.0,0,45642,0,120,72.4,5,1428,-29.0,27.0,268,72.0,0,45642,0,120,72.4,5,1428,-29.0,48.85768855286985,268,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,71.4,5,1894,-33.0,,268,72.0,0,1,52130,0,90,71.4,5,1894,-33.0,49.757644956314536,268,72.0,0,52130,0,90,71.4,5,1894,-33.0,27.0,268,72.0,0,52130,0,90,71.4,5,1894,-33.0,48.86648468704079,268,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,Pass,78.0,5,3158,-179.0,,268,71.0,0,1,53025,0,60,78.0,5,3158,-179.0,49.757644956314536,268,71.0,0,53025,0,60,78.0,5,3158,-179.0,27.0,268,71.0,0,53025,0,60,78.0,5,3158,-179.0,48.86769808717688,268,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
