code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avg_assessment_score,assessment_count,total_vle_clicks,date_registration,date_unregistration,module_presentation_length,final_score,dropout
0,1,11391.0,1,0,1,8,2,0.0,240.0,0,2,82.0,5.0,934.0,-159.0,49.757644956314536,268.0,78.0,0.0
0,1,28400.0,0,6,1,1,1,0.0,60.0,0,2,66.4,5.0,1435.0,-53.0,49.757644956314536,268.0,70.0,0.0
0,1,30268.0,0,5,0,2,1,0.0,60.0,1,3,0.0,0.0,281.0,-92.0,12.0,268.0,72.27975744871986,1.0
0,1,31604.0,0,7,0,4,1,0.0,60.0,0,2,76.0,5.0,2158.0,-52.0,49.757644956314536,268.0,72.0,0.0
0,1,32885.0,0,11,2,4,0,0.0,60.0,0,2,54.4,5.0,1034.0,-176.0,49.757644956314536,268.0,69.0,0.0
0,1,38053.0,1,10,0,7,1,0.0,60.0,0,2,68.0,5.0,2445.0,-110.0,49.757644956314536,268.0,79.0,0.0
0,1,45462.0,1,6,1,2,0,0.0,60.0,0,2,68.0,5.0,1492.0,-67.0,49.757644956314536,268.0,70.0,0.0
0,1,45642.0,0,5,0,8,0,0.0,120.0,0,2,72.4,5.0,1428.0,-29.0,49.757644956314536,268.0,72.0,0.0
0,1,52130.0,0,0,0,6,0,0.0,90.0,0,2,71.4,5.0,1894.0,-33.0,49.757644956314536,268.0,72.0,0.0
0,1,53025.0,1,4,4,9,2,0.0,60.0,0,2,78.0,5.0,3158.0,-179.0,49.757644956314536,268.0,71.0,0.0
0,1,57506.0,1,8,2,6,1,0.0,60.0,0,2,74.0,5.0,1319.0,-103.0,49.757644956314536,268.0,68.0,0.0
0,1,58873.0,0,0,0,1,0,0.0,60.0,0,2,73.2,5.0,1732.0,-47.0,49.757644956314536,268.0,73.0,0.0
0,1,59185.0,1,0,2,5,1,0.0,60.0,0,2,78.6,5.0,1102.0,-59.0,49.757644956314536,268.0,67.0,0.0
0,1,62155.0,0,5,1,4,0,0.0,60.0,0,2,76.0,5.0,3388.0,-68.0,49.757644956314536,268.0,73.0,0.0
0,1,63400.0,1,6,2,3,1,0.0,60.0,0,2,71.6,5.0,2737.0,-67.0,49.757644956314536,268.0,83.0,0.0
0,1,65002.0,0,0,0,6,0,0.0,60.0,0,3,67.0,2.0,171.0,-180.0,96.0,268.0,66.0,1.0
0,1,70464.0,0,11,0,5,1,0.0,60.0,0,2,55.6,5.0,1053.0,-95.0,49.757644956314536,268.0,59.0,0.0
0,1,71361.0,1,2,1,9,1,0.0,60.0,0,2,80.4,5.0,2327.0,-130.0,49.757644956314536,268.0,82.0,0.0
0,1,74372.0,1,0,0,10,1,0.0,150.0,0,1,48.5,4.0,116.0,-50.0,49.757644956314536,268.0,60.0,0.0
0,1,75091.0,1,9,0,2,1,0.0,60.0,0,2,66.0,5.0,2992.0,-107.0,49.757644956314536,268.0,67.0,0.0
0,1,77367.0,1,1,0,2,0,0.0,60.0,0,2,70.4,5.0,680.0,-27.0,49.757644956314536,268.0,73.0,0.0
0,1,91265.0,1,5,1,0,0,0.0,60.0,0,2,70.8,5.0,1494.0,-31.0,49.757644956314536,268.0,75.0,0.0
0,1,94961.0,1,8,2,6,1,0.0,60.0,0,3,74.0,1.0,339.0,-170.0,72.0,268.0,74.0,1.0
0,1,98094.0,1,10,2,6,1,0.0,60.0,0,2,60.6,5.0,2839.0,-107.0,49.757644956314536,268.0,62.0,0.0
0,1,100893.0,1,12,0,1,0,0.0,60.0,0,2,68.4,5.0,744.0,-62.0,49.757644956314536,268.0,63.0,0.0
0,1,101781.0,1,8,2,7,1,0.0,60.0,0,2,72.6,5.0,4104.0,-103.0,49.757644956314536,268.0,84.0,0.0
0,1,102806.0,1,5,0,2,0,0.0,60.0,0,2,78.0,5.0,1944.0,-107.0,49.757644956314536,268.0,80.0,0.0
0,1,102952.0,1,3,1,5,0,0.0,60.0,0,2,76.6,5.0,1150.0,-100.0,49.757644956314536,268.0,76.0,0.0
0,1,104476.0,1,2,4,9,1,0.0,60.0,0,2,79.6,5.0,4777.0,-109.0,49.757644956314536,268.0,85.0,0.0
0,1,106247.0,1,8,1,7,1,0.0,60.0,0,3,60.0,3.0,465.0,5.0,175.0,268.0,67.0,1.0
0,1,106577.0,1,1,2,1,0,0.0,60.0,0,2,53.4,5.0,733.0,-107.0,49.757644956314536,268.0,57.0,0.0
0,1,110175.0,1,0,1,7,1,0.0,60.0,0,2,63.4,5.0,998.0,-110.0,49.757644956314536,268.0,66.0,0.0
0,1,111717.0,0,0,1,8,1,0.0,60.0,0,2,81.0,3.0,2343.0,-43.0,49.757644956314536,268.0,80.0,0.0
0,1,113295.0,1,12,2,5,1,0.0,60.0,0,2,77.6,5.0,3553.0,-26.0,49.757644956314536,268.0,81.0,0.0
0,1,114017.0,0,4,4,9,1,0.0,60.0,0,2,71.8,5.0,757.0,-29.0,49.757644956314536,268.0,66.0,0.0
0,1,114999.0,1,12,1,5,1,0.0,60.0,0,2,72.8,5.0,1358.0,-68.0,49.757644956314536,268.0,74.0,0.0
0,1,116541.0,1,10,1,0,0,0.0,60.0,0,2,62.4,5.0,1886.0,-68.0,49.757644956314536,268.0,76.0,0.0
0,1,116692.0,1,0,0,6,1,0.0,60.0,0,2,74.2,5.0,1108.0,-32.0,49.757644956314536,268.0,72.0,0.0
0,1,118983.0,1,1,1,2,0,0.0,120.0,0,2,61.8,5.0,284.0,-99.0,49.757644956314536,268.0,73.0,0.0
0,1,123044.0,1,8,0,3,1,0.0,60.0,0,2,71.4,5.0,2041.0,-82.0,49.757644956314536,268.0,75.0,0.0
0,1,127582.0,0,1,0,3,0,0.0,180.0,0,2,69.6,5.0,1321.0,-31.0,49.757644956314536,268.0,69.0,0.0
0,1,129955.0,1,11,0,4,0,0.0,60.0,0,3,81.0,3.0,1011.0,-197.0,135.0,268.0,76.0,1.0
0,1,132976.0,0,0,2,7,1,0.0,120.0,0,2,67.4,5.0,520.0,-75.0,49.757644956314536,268.0,63.0,0.0
0,1,134143.0,0,7,0,8,1,0.0,60.0,0,0,84.4,5.0,2732.0,-96.0,49.757644956314536,268.0,87.0,0.0
0,1,135335.0,0,0,2,1,0,0.0,180.0,0,3,0.0,0.0,57.0,-29.0,30.0,268.0,72.27975744871986,1.0
0,1,135400.0,0,7,2,8,1,0.0,60.0,1,3,61.5,2.0,287.0,-32.0,144.0,268.0,57.0,1.0
0,1,137873.0,1,9,0,3,1,0.0,60.0,0,2,80.2,5.0,5528.0,-195.0,49.757644956314536,268.0,72.0,0.0
0,1,141355.0,0,1,0,2,0,0.0,240.0,0,2,72.6,5.0,1823.0,-61.0,49.757644956314536,268.0,77.0,0.0
0,1,141377.0,1,9,0,8,0,0.0,345.0,0,3,45.0,1.0,143.0,-110.0,129.0,268.0,65.0,1.0
0,1,142326.0,0,4,0,4,1,0.0,60.0,0,2,73.6,5.0,2121.0,-37.0,49.757644956314536,268.0,65.0,0.0
0,1,144801.0,0,8,1,7,1,0.0,60.0,0,2,68.8,5.0,5645.0,-67.0,49.757644956314536,268.0,61.0,0.0
0,1,145130.0,1,9,1,5,0,0.0,120.0,0,2,54.4,5.0,452.0,-36.0,49.757644956314536,268.0,75.0,0.0
0,1,146188.0,0,11,0,1,0,0.0,60.0,1,1,50.0,5.0,597.0,-132.0,49.757644956314536,268.0,52.0,0.0
0,1,147756.0,1,4,2,5,0,0.0,120.0,0,1,73.75,4.0,611.0,-92.0,49.757644956314536,268.0,77.0,0.0
0,1,147793.0,0,4,2,7,0,0.0,90.0,0,3,52.0,1.0,155.0,-138.0,58.0,268.0,52.0,1.0
0,1,148993.0,0,5,0,2,1,0.0,60.0,1,3,72.0,3.0,1864.0,-174.0,158.0,268.0,86.0,1.0
0,1,151358.0,0,3,0,7,0,0.0,150.0,0,2,50.0,5.0,270.0,-44.0,49.757644956314536,268.0,54.0,0.0
0,1,155550.0,1,3,0,0,1,0.0,420.0,0,2,67.0,5.0,1529.0,-16.0,49.757644956314536,268.0,75.0,0.0
0,1,155854.0,0,1,0,1,1,0.0,60.0,0,2,79.8,5.0,4003.0,-54.0,49.757644956314536,268.0,82.0,0.0
0,1,155984.0,0,0,2,6,0,0.0,60.0,0,3,80.0,2.0,908.0,-64.0,191.0,268.0,85.0,1.0
0,1,157568.0,0,9,0,8,0,0.0,60.0,0,2,70.6,5.0,1405.0,-52.0,49.757644956314536,268.0,79.0,0.0
