code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avg_assessment_score,assessment_count,total_vle_clicks,date_registration,date_unregistration,module_presentation_length,final_score,dropout,num_of_prev_attempts_Standardized,studied_credits_Standardized,avg_assessment_score_Standardized,assessment_count_Standardized,total_vle_clicks_Standardized,date_registration_Standardized,date_unregistration_Standardized,module_presentation_length_Standardized,final_score_Standardized,num_of_prev_attempts_Scaled,studied_credits_Scaled,avg_assessment_score_Scaled,assessment_count_Scaled,total_vle_clicks_Scaled,date_registration_Scaled,date_unregistration_Scaled,module_presentation_length_Scaled,final_score_Scaled,num_of_prev_attempts_Normalized,studied_credits_Normalized,avg_assessment_score_Normalized,assessment_count_Normalized,total_vle_clicks_Normalized,date_registration_Normalized,date_unregistration_Normalized,module_presentation_length_Normalized,final_score_Normalized
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,82.0,5,934,-159.0,49.757644956314536,268,78.0,0,-0.3402289803143461,3.9015425811228486,0.7396394935981077,-0.07641254230852494,-0.1661023462667018,-1.819956087383181,1.5501297686317055e-16,0.9097797925173533,0.2896962757404536,0.0,0.336,0.8200000000000001,0.3571428571428571,0.0386925721860889,0.33333333333333337,0.5126794128013776,0.9714285714285706,0.78,0.0,0.2350716884354798,0.0803161602154556,0.004897326842405829,0.9148206541614088,-0.15573499358850534,0.048735890051891634,0.26249671875295244,0.07639829874153092
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,66.4,5,1435,-53.0,49.757644956314536,268,70.0,0,-0.3402289803143461,-0.4810830156421975,0.26584996410911127,-0.07641254230852494,0.12989574476894164,0.33338853939928087,1.5501297686317055e-16,0.9097797925173533,-0.11545616056751098,0.0,0.048,0.664,0.3571428571428571,0.05944736733087535,0.5501022494887526,0.5126794128013776,0.9714285714285706,0.7000000000000001,0.0,0.04092663006978532,0.0452921372772291,0.0034105525058154436,0.9788285691690323,-0.0361518565616437,0.03394021213784674,0.18280561431170778,0.04774773508141621
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,0.0,0,281,-92.0,12.0,268,72.27975744871986,1,-0.3402289803143461,-0.4810830156421975,-1.7507926485876433,-1.232210756278152,-0.5519042493530794,-0.4588797666810589,-0.8237259561537632,0.9097797925173533,-7.196953012353272e-16,0.0,0.048,0.0,0.0,0.011640913045279424,0.47034764826175873,0.4660074165636588,0.9714285714285706,0.7227975744871986,0.0,0.14629040412178895,0.0,0.0,0.6851267259703783,-0.22431195298674309,0.029258080824357793,0.6534304717439907,0.17623058211663525
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,76.0,5,2158,-52.0,49.757644956314536,268,72.0,0,-0.3402289803143461,-0.4810830156421975,0.5574127514869551,-0.07641254230852494,0.5570546665628942,0.35370311135005883,1.5501297686317055e-16,0.9097797925173533,-0.014168051490519843,0.0,0.048,0.76,0.3571428571428571,0.0893988980488007,0.5521472392638037,0.5126794128013776,0.9714285714285706,0.72,0.0,0.027534082771877882,0.03487650484437865,0.0022945068976564903,0.9903091770285413,-0.0238628717356275,0.022833851912681277,0.12298556971438789,0.03304089932625346
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,54.4,5,1034,-176.0,49.757644956314536,268,69.0,0,-0.3402289803143461,-0.4810830156421975,-0.09860352011319395,-0.07641254230852494,-0.10702089097016619,-2.165303810546406,1.5501297686317055e-16,0.9097797925173533,-0.16610021510600656,0.0,0.048,0.544,0.3571428571428571,0.042835245867683,0.29856850715746425,0.5126794128013776,0.9714285714285706,0.6900000000000001,0.0,0.05509975981100534,0.04995711556197817,0.0045916466509171115,0.9495525274096586,-0.1616259621122823,0.04569390476423687,0.24611226048915716,0.06336472378265613
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,68.0,5,2445,-110.0,49.757644956314536,268,79.0,0,-0.3402289803143461,-0.4810830156421975,0.31444376200541846,-0.07641254230852494,0.7266184432639514,-0.8245420617950618,1.5501297686317055e-16,0.9097797925173533,0.34034033027894917,0.0,0.048,0.68,0.3571428571428571,0.10128837151497577,0.4335378323108385,0.5126794128013776,0.9714285714285706,0.79,0.0,0.02433538499304393,0.027580102992116454,0.0020279487494203273,0.9916669384665401,-0.0446148724872472,0.020181190772651746,0.10869805296892955,0.032041590240841175
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,68.0,5,1492,-67.0,49.757644956314536,268,70.0,0,-0.3402289803143461,-0.4810830156421975,0.31444376200541846,-0.07641254230852494,0.16357217428796694,0.04898453208838968,1.5501297686317055e-16,0.9097797925173533,-0.11545616056751098,0.0,0.048,0.68,0.3571428571428571,0.061808691329383984,0.5214723926380369,0.5126794128013776,0.9714285714285706,0.7000000000000001,0.0,0.03940890462529534,0.044663425242001384,0.0032840753854412783,0.9799680950156774,-0.044006610164913126,0.03268157140771179,0.1760264406596525,0.04597705539617789
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,72.4,5,1428,-29.0,49.757644956314536,268,72.0,0,-0.3402289803143461,0.9797921832794845,0.4480767062202638,-0.07641254230852494,0.12576004289818415,0.8209382662179515,1.5501297686317055e-16,0.9097797925173533,-0.014168051490519843,0.0,0.14400000000000002,0.7240000000000001,0.3571428571428571,0.059157380173163764,0.5991820040899796,0.5126794128013776,0.9714285714285706,0.72,0.0,0.08204611654902794,0.04950115698458019,0.0034185881895428304,0.9763487869334324,-0.019827811499348418,0.03402017947742445,0.1832363269594957,0.04922766992941676
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,71.4,5,1894,-33.0,49.757644956314536,268,72.0,0,-0.3402289803143461,0.2493545838186435,0.41770558253507173,-0.07641254230852494,0.40107962458004015,0.7396799784148398,1.5501297686317055e-16,0.9097797925173533,-0.014168051490519843,0.0,0.09600000000000002,0.7140000000000001,0.3571428571428571,0.07846223952939227,0.591002044989775,0.5126794128013776,0.9714285714285706,0.72,0.0,0.04690916752420315,0.03721460623586783,0.0026060648624557305,0.9871773698982307,-0.01720002809220782,0.02593433003183978,0.13968507662762714,0.037527334019362514
AAA,2013J,53025,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,Pass,78.0,5,3158,-179.0,49.757644956314536,268,71.0,0,-0.3402289803143461,-0.4810830156421975,0.6181549988573393,-0.07641254230852494,1.1478692195282503,-2.22624752639874,1.5501297686317055e-16,0.9097797925173533,-0.06481210602901541,0.0,0.048,0.78,0.3571428571428571,0.13082563486474172,0.29243353783231085,0.5126794128013776,0.9714285714285706,0.71,0.0,0.018885062253965097,0.02455058093015463,0.0015737551878304249,0.9939837766336963,-0.05634043572432921,0.015661270376844876,0.08435327806771077,0.022347323667192033
