,id_student,num_of_prev_attempts,studied_credits,avg_assessment_score,assessment_count,total_vle_clicks,date_registration,date_unregistration,module_presentation_length,final_score,dropout
id_student,1.0,0.011473269029779704,-0.0038684346065966037,0.01634092155818369,-0.0032316594554913287,0.03659887672872339,0.009903838062091483,0.00903074549780502,0.01735999142860791,0.023472224071011225,0.003774236487457338
num_of_prev_attempts,0.011473269029779704,1.0,0.18172932600916045,-0.05172132691022205,-0.04730051115971984,-0.06935146810041848,-0.02519069409619687,0.014519226441837934,-0.0663063067862104,-0.034003791507992036,0.03290304816451941
studied_credits,-0.0038684346065966037,0.18172932600916045,1.0,-0.1536072566387837,-0.08969847175174651,-0.03667781236652906,-0.09098783882429974,-0.1803157666519097,-0.020595522156032768,0.020257790159428513,0.19119099693625083
avg_assessment_score,0.01634092155818369,-0.05172132691022205,-0.1536072566387837,1.0,0.679349280227295,0.43795051612204017,0.12241828366457146,0.649266559886467,0.02965302962671734,0.5141672175383846,-0.5752020670496801
assessment_count,-0.0032316594554913287,-0.04730051115971984,-0.08969847175174651,0.679349280227295,1.0,0.5478612685360518,0.08684895938790547,0.7179763448178377,-0.0722067749279965,0.21568316993620754,-0.629593107118622
total_vle_clicks,0.03659887672872339,-0.06935146810041848,-0.03667781236652906,0.43795051612204017,0.5478612685360518,1.0,0.008539075907396334,0.4667601083947232,0.05093560389653485,0.23068647532145814,-0.3582177224999044
date_registration,0.009903838062091483,-0.02519069409619687,-0.09098783882429974,0.12241828366457146,0.08684895938790547,0.008539075907396334,1.0,0.2535890923923749,-0.02103748720669172,0.02143133858424265,-0.1230333635278021
date_unregistration,0.00903074549780502,0.014519226441837934,-0.1803157666519097,0.649266559886467,0.7179763448178377,0.4667601083947232,0.2535890923923749,1.0,-0.014621321854393824,0.003392598733212818,0.011800149654424049
module_presentation_length,0.01735999142860791,-0.0663063067862104,-0.020595522156032768,0.02965302962671734,-0.0722067749279965,0.05093560389653485,-0.02103748720669172,-0.014621321854393824,1.0,0.05000460126310227,-0.00568426769017479
final_score,0.023472224071011225,-0.034003791507992036,0.020257790159428513,0.5141672175383846,0.21568316993620754,0.23068647532145814,0.02143133858424265,0.003392598733212818,0.05000460126310227,1.0,-0.13897989452082965
dropout,0.003774236487457338,0.03290304816451941,0.19119099693625083,-0.5752020670496801,-0.629593107118622,-0.3582177224999044,-0.1230333635278021,0.011800149654424049,-0.00568426769017479,-0.13897989452082965,1.0
