Column,Missing_Count,Missing_Percentage
date_unregistration,22521,69.09765900653515
final_score,5877,18.031479151965147
date_registration,45,0.13806645598748196
code_module,0,0.0
gender,0,0.0
id_student,0,0.0
code_presentation,0,0.0
region,0,0.0
num_of_prev_attempts,0,0.0
highest_education,0,0.0
imd_band,0,0.0
age_band,0,0.0
final_result,0,0.0
disability,0,0.0
studied_credits,0,0.0
avg_assessment_score,0,0.0
total_vle_clicks,0,0.0
assessment_count,0,0.0
module_presentation_length,0,0.0
dropout,0,0.0
