,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avg_assessment_score,assessment_count,total_vle_clicks,date_registration,date_unregistration,module_presentation_length,final_score,dropout
count,32593,32593,32593.0,32593,32593,32593,32593,32593,32593.0,32593.0,32593,32593,32593.0,32593.0,32593.0,32548.0,10072.0,32593.0,26716.0,32593.0
unique,7,4,,2,13,5,11,3,,,2,4,,,,,,,,
top,BBB,2014J,,M,Scotland,A Level or Equivalent,20-30%,0-35,,,N,Pass,,,,,,,,
freq,7909,11260,,17875,3446,14045,3654,22944,,,29429,12361,,,,,,,,
mean,,,706687.6691314086,,,,,,0.16322523241186757,79.75869051636855,,,57.64662074196713,5.330561777068696,1215.1412573251926,-69.4113002335013,49.757644956314536,256.01012487343905,72.27975744871986,0.3116006504464149
std,,,549167.313855204,,,,,,0.47975847416298945,41.07190026123341,,,32.92651768291077,4.326081010437635,1692.6044493169172,49.26052211501902,82.46088995813562,13.17907823705594,21.810022381471825,0.46315468974401985
min,,,3733.0,,,,,,0.0,30.0,,,0.0,0.0,0.0,-322.0,-365.0,234.0,0.0,0.0
25%,,,508573.0,,,,,,0.0,60.0,,,43.0,1.0,142.0,-100.0,-2.0,241.0,64.0,0.0
50%,,,590310.0,,,,,,0.0,60.0,,,70.57142857142857,5.0,602.0,-57.0,27.0,262.0,76.0,0.0
75%,,,644453.0,,,,,,0.0,120.0,,,82.4,9.0,1585.0,-29.0,109.0,268.0,88.0,1.0
max,,,2716795.0,,,,,,6.0,655.0,,,100.0,14.0,24139.0,167.0,444.0,269.0,100.0,1.0
