Feature,Importance
categorical__final_result_Withdrawn,0.34542713036130973
numeric__date_unregistration,0.1659014031861846
numeric__assessment_count,0.12896371117153155
categorical__final_result_Fail,0.10372929860101014
categorical__final_result_Pass,0.08446994154913168
numeric__total_vle_clicks,0.06519254642078674
numeric__avg_assessment_score,0.060094175709596846
categorical__final_result_Distinction,0.017144822879944985
numeric__final_score,0.011022379387767635
numeric__studied_credits,0.003600037486351362
categorical__code_module_GGG,0.003051027471756509
numeric__date_registration,0.0022623098313473066
categorical__code_module_CCC,0.0019017264457751053
numeric__module_presentation_length,0.0007009007699811171
numeric__id_student,0.0006725972402805957
categorical__code_module_EEE,0.0005873227696776812
categorical__code_presentation_2014J,0.0004000067392540397
categorical__code_presentation_2013J,0.0003952461558461755
categorical__code_module_DDD,0.0003936367855785324
categorical__highest_education_Lower Than A Level,0.0003356949768183348
categorical__region_Scotland,0.0003279035756793404
categorical__code_module_BBB,0.0003269008279139609
categorical__region_Wales,0.00031900829461977223
categorical__code_module_FFF,0.0002872648500863677
categorical__gender_F,0.00019548014831989195
categorical__disability_Y,0.00017710714680117763
numeric__num_of_prev_attempts,0.00017684184302789864
categorical__disability_N,0.0001709145365002781
categorical__gender_M,0.00015874567463549264
categorical__code_presentation_2013B,0.0001465486433172566
categorical__imd_band_0-10%,0.00012416930039022152
categorical__code_presentation_2014B,0.0001221388114027658
categorical__highest_education_A Level or Equivalent,9.579283729886545e-05
categorical__age_band_35-55,8.994369142605574e-05
categorical__code_module_AAA,8.835607267051496e-05
categorical__age_band_0-35,8.739168086890348e-05
categorical__imd_band_20-30%,8.323890903880005e-05
categorical__imd_band_Oct-20,5.655589454042946e-05
categorical__imd_band_60-70%,4.6504284748526205e-05
categorical__highest_education_HE Qualification,4.6056541107236235e-05
categorical__region_East Midlands Region,4.419066385810104e-05
categorical__region_West Midlands Region,4.251396132476029e-05
categorical__region_East Anglian Region,4.123492456072429e-05
categorical__imd_band_90-100%,4.089177850170585e-05
categorical__imd_band_80-90%,4.0344118084733505e-05
categorical__imd_band_30-40%,3.9081012604101045e-05
categorical__imd_band_40-50%,3.882561535889091e-05
categorical__highest_education_No Formal quals,3.675023215688677e-05
categorical__region_North Western Region,3.6400427686198696e-05
categorical__imd_band_70-80%,3.566018575866539e-05
categorical__region_South Region,3.262055248438304e-05
categorical__imd_band_50-60%,3.142562507224572e-05
categorical__region_South East Region,2.9640678280104433e-05
categorical__region_London Region,2.8860424534010354e-05
categorical__region_Yorkshire Region,2.8486798765261966e-05
categorical__region_North Region,2.398540217617355e-05
categorical__region_Ireland,2.024588238065508e-05
categorical__imd_band_?,2.0230192929925594e-05
categorical__region_South West Region,9.663653504418036e-06
categorical__highest_education_Post Graduate Qualification,5.102856836730563e-06
categorical__age_band_55<=,1.065508816802879e-06
