code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avg_assessment_score,assessment_count,total_vle_clicks,date_registration,date_unregistration,module_presentation_length,final_score,dropout
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,82,5,934,-159,,268,78,0
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,66.4,5,1435,-53,,268,70,0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,0,0,281,-92,12,268,,1
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,76,5,2158,-52,,268,72,0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,54.4,5,1034,-176,,268,69,0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,68,5,2445,-110,,268,79,0
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,68,5,1492,-67,,268,70,0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,72.4,5,1428,-29,,268,72,0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,71.4,5,1894,-33,,268,72,0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,Pass,78,5,3158,-179,,268,71,0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,74,5,1319,-103,,268,68,0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,73.2,5,1732,-47,,268,73,0
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,78.6,5,1102,-59,,268,67,0
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,76,5,3388,-68,,268,73,0
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,71.6,5,2737,-67,,268,83,0
